Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf
TWA 29,-,12h 45m 14.16s,−44° 29′ 7.7″,-,262,M9.5,2.00
SDSSp J125453.90-012247.4,Virgo,12h 54m 53.93s,−1° 22′ 47.4″,14.9,38,T2
Kelu-1,Hydra,13h 5m 40.2s,−25° 41′ 6″,-,61,L2
Kelu-1,Hydra,13h 5m 40.2s,−25° 41′ 6″,-,61,L4
2MASS J13204427+0409045,-,13h 20m 44.27s,4° 9′ 4.5″,-,101,L3:
SDSSp J132629.82-003831.5,Virgo,13h 26m 29.81s,−0° 38′ 31.4″,16.1,65,L8:
SDSSp J134646.45-003150.4,Virgo,13h 46m 46.34s,−0° 31′ 50.1″,16,48,T6.5
2MASS J13595510-4034582,-,13h 59m 55.1s,−40° 34′ 58.2″,-,51,L1
ULAS J141623.94+134836.3,-,14h 16m 23.94s,13° 48′ 36.3″,-,29.7,T7.5p
SDSS J141659.78+500626.4,Boötes,14h 16m 59.86s,50° 6′ 25.8″,22,149,L4.5
DENIS-P J142527.97-365023.4,Centaurus,14h 25m 27.98s,−36° 50′ 22.9″,14,38,L3:
LHS 2924,Boötes,14h 28m 43.23s,+33° 10′ 39.1″,19.74,38.5,M9V
2MASS J14392837+1929150,-,14h 39m 28.36s,19° 29′ 14.9″,-,47,L1
LSPM J1440+1339,-,14h 40m 22.93s,13° 39′ 23″,-,72,M8
2MASS J14482563+1031590,Boötes,14h 48m 25.63s,10° 31′ 59″,15,47,L4:
CFBDSIR 1458+10,Boötes,14h 58m 29.0s,+10° 13′ 43″,19.83,104,T9,11.1
CFBDSIR 1458+10,Boötes,14h 58m 29.0s,+10° 13′ 43″,21.85,104,Y0
TVLM 513-46546,Boötes,15h 1m 8.18s,+22° 50′ 2″,15.09,35.1,M8.5V
2MASS 1503+2525,Boötes,15h 3m 19.61s,25° 25′ 19.6″,-,20.7,T5
CFBDS J150411+102717,-,15h 4m 11.64s,10° 27′ 18.4″,-,71,T7
2MASSW J1506544+132106,Boötes,15h 6m 54.41s,13° 21′ 6″,13,46,L3
2MASS 1507−1627,Libra,15h 7m 47.69s,−16° 27′ 38.6″,19,23.9,L5
TVLM 868-110639,-,15h 10m 16.85s,−2° 41′ 7.8″,-,53,M9
SDSS J151114.66+060742.9,Serpens,15h 11m 14.66s,6° 7′ 43.1″,25,89,T2,-
2MASSW J1515008+484742,Boötes,15h 15m 0.83s,48° 47′ 41.6″,14,34,L6
2MASSI J1526140+204341,Serpens,15h 26m 14.05s,20° 43′ 41.4″,16,67,L7
DENIS-P J153941.96-052042.4,Libra,15h 39m 41.89s,−5° 20′ 42.8″,14,51,L4
2MASS J15462718-3325111,Lupus,15h 46m 27.19s,−33° 25′ 11.2″,16,37,T5.5
2MASSW J1552591+294849,Corona Borealis,15h 52m 59.06s,29° 48′ 48.5″,13,68,L0β
2MASSW J1555157-095605,Libra,15h 55m 15.73s,−9° 56′ 5.5″,13,44,L1
2MASS J16150413+1340079,Hercules,16h 15m 4.13s,13° 40′ 7.9″,16,48,T6
SDSSp J162414.37+002915.6,Serpens,16h 24m 14.36s,0° 29′ 15.8″,-,36,T6
2MASS J16262034+3925190,Hercules,16h 26m 20.34s,39° 25′ 19″,14.44,110,L4sd
2MASSW J1632291+190441,Hercules,16h 32m 29.11s,19° 4′ 40.7″,22,50,L8
WISEPA J164715.59+563208.2,-,16h 47m 15.59s,56° 32′ 8.2″,-,28,L9p
LSPM J1658+7027,Draco,16h 58m 3.8s,70° 27′ 1.5″,19,60,L1
2MASSI J1726000+153819,-,17h 26m 0.07s,15° 38′ 19″,-,114,L3β
2MASSW J1728114+394859,-,17h 28m 11.5s,39° 48′ 59.3″,-,79,L7,-
SDSSp J175032.96+175903.9,-,17h 50m 32.93s,17° 59′ 4.2″,-,90,T3.5
2MASS J18283572-4849046,-,18h 28m 35.72s,−48° 49′ 4.6″,-,39,T5.5
LSR J1835+3259,Lyra,18h 35m 37.9s,32° 59′ 54.5″,18.27,18.5,M8.5
2MASSW J1841086+311727,-,18h 41m 8.61s,31° 17′ 27.9″,-,138,L4p
2MASS J18432213+4040209,-,18h 43m 22.13s,40° 40′ 20.9″,-,46,M8
2MASS J20004841-7523070,-,20h 0m 48.41s,−75° 23′ 7″,-,105,M9γ
SDSS J204749.61-071818.3,-,20h 47m 49.59s,−7° 18′ 18.2″,-,65,T0:
2MASSI J2057540-025230,-,20h 57m 54.09s,−2° 52′ 30.2″,-,47,L1.5
2MASSW J2101154+175658,-,21h 1m 15.44s,17° 56′ 58.6″,-,108,L7.5,-
2MASSI J2104149-103736,-,21h 4m 14.91s,−10° 37′ 36.9″,-,62,L2.5
PSO J318.5−22,Capricornus,21h 14m 8.02s,−22° 51′ 35.8″,-,80,L7VL-G,6.5
HB 2124-4228,-,21h 27m 26.13s,−42° 15′ 18.3″,-,113,M7.5
2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,2° 20′ 22.7″,14.71,32.1,T1.5
2MASS J21481628+4003593,-,21h 48m 16.33s,40° 3′ 59.4″,-,26.3,L6
2MASS J14112131-2119503,-,21h 50m 19.5s,−21° 19′ 50″,-,-,M9β,-
2MASSW J2206450-421721,-,22h 6m 44.98s,−42° 17′ 20.8″,-,93,L4γ
2MASSW J2208136+292121,-,22h 8m 13.63s,29° 21′ 21.5″,-,154,L3γ
2MASSW J2224438-015852,-,22h 24m 43.81s,−1° 58′ 52.1″,-,38,L4.5
2MASS J22282889-4310262,Grus,22h 28m 28.89s,−43° 10′ 26.2″,15.66,35,T6
2MASS J22373255+3922398,-,22h 37m 32.55s,39° 22′ 39.8″,-,64,M9.5
2MASSW J2244316+204343,-,22h 44m 31.67s,20° 43′ 43.3″,-,56,L6.5
2MASS J23224684-3133231,-,23h 22m 46.84s,−31° 33′ 23.1″,-,56,L0β
2MASS J23225299-6151275,-,23h 22m 52.99s,−61° 51′ 27.5″,-,148,L2γ
2MASS J23515044-2537367,-,23h 51m 50.44s,−25° 37′ 36.7″,-,67,M8
2MASSI J2356547-155310,-,23h 56m 54.77s,−15° 53′ 11.1″,-,74,T5.5
WISE 0005+3737,Andromeda,0h 5m 17.48s,37° 37′ 20.5″,18.33,23.2,T9,-
WISE 0008-1739,Cetus,0h 8m 49.75s,−17° 39′ 23.63″,17.03,87.1,T6,-
WISE 0015-4615,Phoenix,0h 15m 5.87s,−46° 15′ 17.6″,-,48.6,T8,-
WISE 0031-3840,Sculptor,0h 31m 19.78s,−38° 40′ 36.3″,14.1,71.8,L2 pec,-
WISE 0032-4946,Phoenix,0h 32m 31.09s,−49° 46′ 51.4″,-,62.9,T8.5,-
WISE 0038+2758,Andromeda,0h 38m 29.05s,27° 58′ 52.1″,-,36.9,T9,-
WISE 0038+8405,Cepheus,0h 38m 30.54s,84° 5′ 17.7″,-,101.8,T6,-
